genres,id,profit
Action,135397,1363528810.0
Adventure,135397,1363528810.0
Science Fiction,135397,1363528810.0
Thriller,135397,1363528810.0
Action,76341,228436354.0
Adventure,76341,228436354.0
Science Fiction,76341,228436354.0
Thriller,76341,228436354.0
Adventure,262500,185238201.0
Science Fiction,262500,185238201.0
Thriller,262500,185238201.0
Action,140607,1868178225.0
Adventure,140607,1868178225.0
Fantasy,140607,1868178225.0
Science Fiction,140607,1868178225.0
Action,168259,1316249360.0
Crime,168259,1316249360.0
Thriller,168259,1316249360.0
Adventure,281957,397950503.0
Drama,281957,397950503.0
Thriller,281957,397950503.0
Action,87101,285603537.0
Adventure,87101,285603537.0
Science Fiction,87101,285603537.0
Thriller,87101,285603537.0
Adventure,286217,487380321.0
Drama,286217,487380321.0
Science Fiction,286217,487380321.0
Adventure,211672,1082730962.0
Animation,211672,1082730962.0
Comedy,211672,1082730962.0
Family,211672,1082730962.0
Animation,150540,678708609.0
Comedy,150540,678708609.0
Family,150540,678708609.0
Action,206647,635674609.0
Adventure,206647,635674609.0
Crime,206647,635674609.0
Action,76757,7987720.0
Adventure,76757,7987720.0
Fantasy,76757,7987720.0
Science Fiction,76757,7987720.0
Drama,264660,21869414.0
Science Fiction,264660,21869414.0
Action,257344,155637091.0
Comedy,257344,155637091.0
Science Fiction,257344,155637091.0
Action,99861,1125035767.0
Adventure,99861,1125035767.0
Science Fiction,99861,1125035767.0
Crime,273248,111760117.0
Drama,273248,111760117.0
Mystery,273248,111760117.0
Action,260346,277771424.0
Crime,260346,277771424.0
Thriller,260346,277771424.0
Action,102899,388602163.0
Adventure,102899,388602163.0
Science Fiction,102899,388602163.0
Drama,150689,447351353.0
Family,150689,447351353.0
Fantasy,150689,447351353.0
Romance,150689,447351353.0
Adventure,131634,490523427.0
Science Fiction,131634,490523427.0
War,131634,490523427.0
Action,158852,19035668.0
Adventure,158852,19035668.0
Family,158852,19035668.0
Mystery,158852,19035668.0
Science Fiction,158852,19035668.0
Action,307081,61709827.0
Drama,307081,61709827.0
Action,254128,360490832.0
Drama,254128,360490832.0
Thriller,254128,360490832.0
Drama,216015,529651467.0
Romance,216015,529651467.0
Comedy,318846,105346506.0
Drama,318846,105346506.0
Action,177677,532330139.0
Comedy,214756,147863606.0
Action,207703,322802136.0
Adventure,207703,322802136.0
Comedy,207703,322802136.0
Crime,207703,322802136.0
Drama,314365,68346473.0
History,314365,68346473.0
Thriller,314365,68346473.0
Action,294254,250256926.0
Science Fiction,294254,250256926.0
Thriller,294254,250256926.0
Action,198184,53069268.0
Crime,198184,53069268.0
Science Fiction,198184,53069268.0
Comedy,254470,258506194.0
Music,254470,258506194.0
Drama,296098,122610473.0
Thriller,296098,122610473.0
Adventure,257445,92170815.0
Comedy,257445,92170815.0
Horror,257445,92170815.0
Drama,264644,29401758.0
Thriller,264644,29401758.0
Adventure,105864,156926147.0
Animation,105864,156926147.0
Comedy,105864,156926147.0
Family,105864,156926147.0
Fantasy,105864,156926147.0
Action,241554,21561644.0
Crime,241554,21561644.0
Drama,241554,21561644.0
Mystery,241554,21561644.0
Thriller,241554,21561644.0
Drama,167073,51076141.0
Romance,167073,51076141.0
Drama,277216,173634991.0
Music,277216,173634991.0
Action,274854,50396650.0
Adventure,274854,50396650.0
Fantasy,274854,50396650.0
Drama,321697,4441873.0
History,321697,4441873.0
Action,203801,33145109.0
Adventure,203801,33145109.0
Comedy,203801,33145109.0
Drama,293863,17629776.0
Fantasy,293863,17629776.0
Romance,293863,17629776.0
Action,325348,4333790.0
Adventure,325348,4333790.0
Science Fiction,325348,4333790.0
Animation,228161,233871007.0
Comedy,228161,233871007.0
Family,228161,233871007.0
Fantasy,228161,233871007.0
Science Fiction,228161,233871007.0
Drama,286565,73512300.0
Mystery,286565,73512300.0
Romance,286565,73512300.0
Comedy,254320,5064511.0
Drama,254320,5064511.0
Romance,254320,5064511.0
Science Fiction,254320,5064511.0
Thriller,254320,5064511.0
Drama,258480,28472135.0
Romance,258480,28472135.0
Comedy,257211,159564672.0
Adventure,253412,148427584.0
Drama,253412,148427584.0
Comedy,274479,41134059.0
Drama,274479,41134059.0
Action,257088,28718711.0
Crime,257088,28718711.0
Thriller,257088,28718711.0
Drama,295964,16606743.0
Mystery,238615,4523226.0
Science Fiction,238615,4523226.0
Thriller,238615,4523226.0
Adventure,210860,-29581440.0
Comedy,210860,-29581440.0
Drama,306819,49191523.0
Action,201088,-52247060.0
Crime,201088,-52247060.0
Drama,201088,-52247060.0
Mystery,201088,-52247060.0
Thriller,201088,-52247060.0
Action,273481,54025816.0
Crime,273481,54025816.0
Drama,273481,54025816.0
Mystery,273481,54025816.0
Thriller,273481,54025816.0
Action,166424,47977595.0
Adventure,166424,47977595.0
Science Fiction,166424,47977595.0
Horror,310131,36923945.0
Mystery,310131,36923945.0
Action,238713,170666219.0
Comedy,238713,170666219.0
Crime,238713,170666219.0
Comedy,256591,103862963.0
Crime,256591,103862963.0
Drama,256591,103862963.0
Romance,256591,103862963.0
Action,249070,47347656.0
Crime,249070,47347656.0
Thriller,249070,47347656.0
Action,205775,-6179242.0
Adventure,205775,-6179242.0
Drama,205775,-6179242.0
History,205775,-6179242.0
Thriller,205775,-6179242.0
Drama,312221,102935567.0
Comedy,271718,105795793.0
Drama,333352,19848185.0
Thriller,333352,19848185.0
War,333352,19848185.0
Crime,276907,17972994.0
Thriller,276907,17972994.0
Adventure,266647,-21611680.0
Family,266647,-21611680.0
Fantasy,266647,-21611680.0
Adventure,227973,147233113.0
Animation,227973,147233113.0
Comedy,227973,147233113.0
Family,227973,147233113.0
Drama,321741,13623572.0
Comedy,296100,27395996.0
Drama,263472,2714043.0
Horror,263472,2714043.0
Thriller,263472,2714043.0
Drama,228205,29013281.0
Romance,228205,29013281.0
Animation,159824,386183544.0
Comedy,159824,386183544.0
Family,159824,386183544.0
Comedy,333348,7000000.0
Family,333348,7000000.0
Adventure,285783,26181942.0
Drama,285783,26181942.0
Thriller,285783,26181942.0
Action,290764,-9136685.0
Crime,290764,-9136685.0
Drama,290764,-9136685.0
Adventure,296099,73384188.0
Comedy,296099,73384188.0
Horror,243688,60437994.0
Thriller,243688,60437994.0
Horror,287424,-3812888.0
Crime,181283,-46675670.0
Thriller,181283,-46675670.0
Mystery,328425,53978653.0
Thriller,328425,53978653.0
Comedy,274167,190360392.0
Adventure,309809,33571250.0
Animation,309809,33571250.0
Fantasy,309809,33571250.0
Drama,298382,6410000.0
Comedy,272693,35028634.0
Romance,272693,35028634.0
Horror,283445,42882018.0
Action,256961,77597242.0
Adventure,256961,77597242.0
Comedy,256961,77597242.0
Family,256961,77597242.0
Thriller,241251,46163103.0
Comedy,188222,19263404.0
Comedy,252838,56799880.0
Comedy,273477,-139234.0
Horror,273477,-139234.0
Horror,298312,93450062.0
Thriller,298312,93450062.0
Crime,261023,46775678.0
Drama,261023,46775678.0
Action,336004,-8849864.0
Crime,336004,-8849864.0
Thriller,336004,-8849864.0
Comedy,287903,46548707.0
Fantasy,287903,46548707.0
Horror,287903,46548707.0
Drama,182560,-19791412.0
Mystery,182560,-19791412.0
Thriller,182560,-19791412.0
Action,192141,49418872.0
Thriller,192141,49418872.0
Comedy,308639,17286781.0
Crime,308639,17286781.0
Drama,308639,17286781.0
Action,261392,208085.0
Comedy,261392,208085.0
Drama,304357,50619773.0
Comedy,266294,75011053.0
Science Fiction,227719,20248241.0
Thriller,227719,20248241.0
Action,287948,47629670.0
Crime,287948,47629670.0
Thriller,287948,47629670.0
Drama,201085,19679822.0
Fantasy,201085,19679822.0
Horror,201085,19679822.0
Mystery,201085,19679822.0
Thriller,201085,19679822.0
Comedy,264999,107613057.0
Drama,264999,107613057.0
Music,264999,107613057.0
Horror,146301,68099553.0
Thriller,146301,68099553.0
Drama,294016,-6764339.0
Crime,290751,12689727.0
Drama,290751,12689727.0
Mystery,290751,12689727.0
Animation,228165,237594032.0
Family,228165,237594032.0
Adventure,272878,23967255.0
Drama,272878,23967255.0
Family,272878,23967255.0
Action,266396,-29335251.0
Crime,266396,-29335251.0
Drama,266396,-29335251.0
Horror,277685,61882090.0
Thriller,277685,61882090.0
Action,268920,16680201.0
Comedy,268920,16680201.0
Crime,268920,16680201.0
Drama,280092,94303851.0
Horror,280092,94303851.0
Thriller,280092,94303851.0
Comedy,328589,35387687.0
Drama,328589,35387687.0
Drama,228066,-5772702.0
Science Fiction,228066,-5772702.0
Thriller,228066,-5772702.0
Animation,291270,-4240714.0
Comedy,291270,-4240714.0
Drama,291270,-4240714.0
Romance,291270,-4240714.0
Drama,250124,-522998.0
Romance,250124,-522998.0
Drama,282984,16391084.0
Mystery,282984,16391084.0
Comedy,275601,23325328.0
Drama,275601,23325328.0
Music,275601,23325328.0
Drama,304372,48273173.0
Thriller,304372,48273173.0
Comedy,252512,-2412515.0
Drama,252512,-2412515.0
Comedy,257091,66511453.0
Drama,293646,-97277.0
History,293646,-97277.0
Drama,245168,2002420.0
