director,id,profit
Colin Trevorrow,135397,1363528810.0
George Miller,76341,228436354.0
Robert Schwentke,262500,185238201.0
J.J. Abrams,140607,1868178225.0
James Wan,168259,1316249360.0
Alejandro GonzÃ¡lez IÃ±Ã¡rritu,281957,397950503.0
Alan Taylor,87101,285603537.0
Ridley Scott,286217,487380321.0
Kyle Balda,211672,1082730962.0
Pierre Coffin,211672,1082730962.0
Pete Docter,150540,678708609.0
Sam Mendes,206647,635674609.0
Lana Wachowski,76757,7987720.0
Lilly Wachowski,76757,7987720.0
Alex Garland,264660,21869414.0
Chris Columbus,257344,155637091.0
Joss Whedon,99861,1125035767.0
Quentin Tarantino,273248,111760117.0
Olivier Megaton,260346,277771424.0
Peyton Reed,102899,388602163.0
Kenneth Branagh,150689,447351353.0
Francis Lawrence,131634,490523427.0
Brad Bird,158852,19035668.0
Antoine Fuqua,307081,61709827.0
Brad Peyton,254128,360490832.0
Sam Taylor-Johnson,216015,529651467.0
Adam McKay,318846,105346506.0
Christopher McQuarrie,177677,532330139.0
Seth MacFarlane,214756,147863606.0
Matthew Vaughn,207703,322802136.0
Tom McCarthy,314365,68346473.0
Wes Ball,294254,250256926.0
Neill Blomkamp,198184,53069268.0
Elizabeth Banks,254470,258506194.0
Steven Spielberg,296098,122610473.0
Rob Letterman,257445,92170815.0
Lenny Abrahamson,264644,29401758.0
Peter Sohn,105864,156926147.0
Jaume Collet-Serra,241554,21561644.0
John Crowley,167073,51076141.0
F. Gary Gray,277216,173634991.0
Breck Eisner,274854,50396650.0
Danny Boyle,321697,4441873.0
Guy Ritchie,203801,33145109.0
Lee Toland Krieger,293863,17629776.0
Ilya Naishuller,325348,4333790.0
Tim Johnson,228161,233871007.0
Jake Schreier,286565,73512300.0
Yorgos Lanthimos,254320,5064511.0
Todd Haynes,258480,28472135.0
Nancy Meyers,257211,159564672.0
Baltasar KormÃ¡kur,253412,148427584.0
David O. Russell,274479,41134059.0
Ericson Core,257088,28718711.0
John Wells,295964,16606743.0
Tarsem Singh,238615,4523226.0
David Koepp,210860,-29581440.0
Tom Hooper,306819,49191523.0
Michael Mann,201088,-52247060.0
Denis Villeneuve,273481,54025816.0
Josh Trank,166424,47977595.0
Robert Eggers,310131,36923945.0
Paul Feig,238713,170666219.0
Glenn Ficarra,256591,103862963.0
John Requa,256591,103862963.0
Aleksander Bach,249070,47347656.0
Ron Howard,205775,-6179242.0
Ryan Coogler,312221,102935567.0
Judd Apatow,271718,105795793.0
Gavin Hood,333352,19848185.0
Brian Helgeland,276907,17972994.0
Joe Wright,266647,-21611680.0
Steve Martino,227973,147233113.0
Peter Landesman,321741,13623572.0
Jonathan Levine,296100,27395996.0
Eli Roth,263472,2714043.0
"George Tillman, Jr.",228205,29013281.0
Genndy Tartakovsky,159824,386183544.0
Jessie Nelson,333348,7000000.0
Robert Zemeckis,285783,26181942.0
Daniel Benmayor,290764,-9136685.0
John Francis Daley,296099,73384188.0
Jonathan M. Goldstein,296099,73384188.0
Gil Kenan,243688,60437994.0
Henry Hobson,287424,-3812888.0
Daniel Espinosa,181283,-46675670.0
Joel Edgerton,328425,53978653.0
Sean Anders,274167,190360392.0
Mark Osborne,309809,33571250.0
Jocelyn Moorhouse,298382,6410000.0
Ari Sandel,272693,35028634.0
Ciaran Foy,283445,42882018.0
Andy Fickman,256961,77597242.0
Rob Cohen,241251,46163103.0
Doug Ellin,188222,19263404.0
Jeremy Garelick,252838,56799880.0
Christopher B. Landon,273477,-139234.0
M. Night Shyamalan,298312,93450062.0
Scott Cooper,261023,46775678.0
Scott Mann,336004,-8849864.0
Michael Dougherty,287903,46548707.0
Gilles Paquet-Brenner,182560,-19791412.0
John Erick Dowdle,192141,49418872.0
Rick Famuyiwa,308639,17286781.0
Nima Nourizadeh,261392,208085.0
Simon Curtis,304357,50619773.0
Jason Moore,266294,75011053.0
Dean Israelite,227719,20248241.0
Camille Delamarre,287948,47629670.0
Guillermo del Toro,201085,19679822.0
Gregory Jacobs,264999,107613057.0
